20:46:46:410 [ALWAYS]	GUDE Logging Started
20:46:46:411 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:46:46:411 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:46:46:411 [ERROR]	Initialize resume cache pointer failure
20:46:46:412 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
20:46:46:412 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
20:46:54:858 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
20:46:54:858 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:46:54:858 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:46:54:858 [ERROR]	Initialize resume cache pointer failure
20:46:54:858 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
20:46:54:858 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
